areaSource|areaSourceHigh|areaSourceLow|areaTotal|associationId|datlocation|depth|endtime|eventid|h|hHigh|hLow|hfall|hfall_high|hfall_low|l|lHigh|lLow|latitude|locuncertKm|longitude|lppotential|mass|massHigh|massLow|maxdistvhfKm|maxdistvhfReached|maxdisthfKm|maxdisthfReached|maxdistipKm|maxdistipReached|maxdistlpKm|maxdistlpReached|maxdistinfraKm|maxdistinfraReached|infraDetected|name|otherdataquality1to5|peakDischarge|peakDischargeLow|peakDischargeHigh|peakFlowheight|peakFlowheightLow|peakFlowheightHigh|starttime|sources|toeLat|toeLon|topLat|topLon|upstreamDrainarea|type|subtype|volume|volumeHigh|volumeLow
||||22|IRIS||2007_07_25 010251|22|1860.0||||||5760.0|||61.10249|0.0|-140.3055|1|108000000000.0|||||1079.0|True|||1100.0|False||||Mount Steele 2|5|||||||2007_07_25 005835|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"|61.14054|-140.25324|61.10249|-140.3055||rock and ice avalanche|Rock/ice/debris avalanches and slides|54000000.0|80500000.0|27500000.0
100000.0|||1600000.0|273|IRIS||2017_06_23 214249|273|1200.0||||||2600.0|||32.0797|0.0|103.6628|1||||||591.0|False|||591.0|False||||Xinmo Village, China|5|||||||2017_06_23 213916|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||rock slide, rock avalanche|Rock/ice/debris avalanches and slides|13000000.0|14000000.0|12000000.0
||||218|RESIF, ETH, ORFEUS, LMU, BGR, IRIS, INGV||2017_08_23 093828|218||||||||||46.29552||9.6019|0||||||246.0|False|||0.0|||||Piz Cengalo 4, Switzerland|1|||||||2017_08_23 093617|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||landslide|Rock/ice/debris avalanches and slides|||
111000.0|||1130000.0|127|IRIS||2017_07_22 205957|127|931.0||||||3730.0|||60.07385|0.0|-139.84532|1||||||351.0|False|||386.0|False|0.0||False|Lucia Glacier|4|||||||2017_07_22 205630|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|60.06616|-139.90755|60.07385|-139.84532||rock avalanche|Rock/ice/debris avalanches and slides|3000000.0|4000000.0|2300000.0
|||10000000.0|285|IRIS||1997_12_26 070719|285|||||||4000.0|||16.709|0.1|-62.1762|1||||||0.0||||450.0|False||||Montserrat|5|||||||1997_12_26 070240|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|16.6753|-62.1762|16.709|-62.1762||debris avalanche, pyroclastic density current|Rock/ice/debris avalanches and slides|46000000.0|50000000.0|40000000.0
100000.0|150000.0|65000.0|820000.0|186|IRIS, NCEDC||2013_07_25 101727|186|690.0|760.0|640.0||||2000.0|2100.0|1600.0|61.9845|0.0|-143.1683|1|40000000000.0|||||500.0|False|||500.0|False||||Wrangell Mountains|4|||||||2013_07_25 101456|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|61.9722|-143.1495|61.9845|-143.1683||rock and debris avalanche|Rock/ice/debris avalanches and slides|2600000.0|3900000.0|1800000.0
||||277|IRIS||2013_01_21 011052|277|900.0||||||2900.0|||-43.5611|0.0|170.1801|0||||||73.0|False|||0.0|||||Mount Haast, New Zealand|5|||||||2013_01_21 010828|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|-43.5857|170.1764|-43.5611|170.1801||rock avalanche|Rock/ice/debris avalanches and slides|2000000.0||
23400.0||||147|IRIS||2019_05_13 144245|147|1240.0||||||4320.0|||50.3448|0.0|-122.4511|1||||||391.0|True|||301.0|True||||Mount Joffre 1|5|||||||2019_05_13 143955|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|50.3672|-122.4154|50.3448|-122.4511||rock avalanche, debris flow|Rock/ice/debris avalanches and slides|1900000.0||
||||213|ETH, ORFEUS, LMU, BGR, IRIS, INGV||2015_10_02 160136|213||||||||||47.0051|0.2|10.9728|0||||||306.0|False|||0.0|||||Sölden, Austria|4|||||||2015_10_02 155900|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||rock slide|Rock/ice/debris avalanches and slides|150000.0|200000.0|100000.0
||||230|IRIS, INGV||2014_07_13 093504|230||||||||||46.7714|0.15|12.7426|0||||||55.0|False|||0.0|||||Lienzer Dolomiten, Austria|1|||||||2014_07_13 093422|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||rock slide|Rock/ice/debris avalanches and slides|||
