datalocation|endtime|eventid|height|heightUncertaintyHigh|heightUncertaintyLow|length|lengthUncertaintyHigh|lengthUncertaintyLow|latitude|longitude|name|quality|starttime|type|subtype|volume|volumeUncertaintyHigh|volumeUncertaintyLow
IRIS|2007_07_25 010251|22|1860.0|||5760.0|||61.10249|-140.3055|Mount Steele 2|5|2007_07_25 005835|rock and ice avalanche|Rock/ice/debris avalanches and slides|54000000.0|80500000.0|27500000.0
IRIS|2017_06_23 214249|273|1200.0|||2600.0|||32.0797|103.6628|Xinmo Village, China|5|2017_06_23 213916|rock slide, rock avalanche|Rock/ice/debris avalanches and slides|13000000.0|14000000.0|12000000.0
IRIS|2017_07_22 205957|127|931.0|||3730.0|||60.07385|-139.84532|Lucia Glacier|4|2017_07_22 205630|rock avalanche|Rock/ice/debris avalanches and slides|3000000.0|4000000.0|2300000.0
IRIS, NCEDC|2013_07_25 101727|186|690.0|760.0|640.0|2000.0|2100.0|1600.0|61.9845|-143.1683|Wrangell Mountains|4|2013_07_25 101456|rock and debris avalanche|Rock/ice/debris avalanches and slides|2600000.0|3900000.0|1800000.0
IRIS|2013_01_21 011052|277|900.0|||2900.0|||-43.5611|170.1801|Mount Haast, New Zealand|5|2013_01_21 010828|rock avalanche|Rock/ice/debris avalanches and slides|2000000.0||
IRIS|2019_05_13 144245|147|1240.0|||4320.0|||50.3448|-122.4511|Mount Joffre 1|5|2019_05_13 143955|rock avalanche, debris flow|Rock/ice/debris avalanches and slides|1900000.0||
IRIS, Attachments below|2005_05_15 135216|51|1400.0|1460.0|1300.0|3800.0|4400.0|3000.0|59.981|-153.06354|South Twin 1|3|2005_05_15 134616|rock avalanche|Rock/ice/debris avalanches and slides|91000.0|140000.0|62000.0
IRIS, Attachments below|2005_05_15 181618|72|1400.0|1460.0|1300.0|3800.0|4400.0|3000.0|59.981|-153.06354|South Twin 8|3|2005_05_15 181525|rock avalanche|Rock/ice/debris avalanches and slides|44000.0|66000.0|30000.0
IRIS|2016_06_28 162606|81|1500.0|||10000.0|||58.77918|-136.88827|Lamplugh Glacier|4|2016_06_28 162103|rock avalanche|Rock/ice/debris avalanches and slides|64000000.0|66800000.0|61200000.0
IRIS, NCEDC|2009_03_28 122804|74|560.0|||550.0|||37.75212|-119.54105|Ahwiyah Point|5|2009_03_28 122601|rock avalanche|Rock/ice/debris avalanches and slides|46700.0||
IRIS|2018_07_11 003749|160|1300.0|1400.0|1100.0|3600.0|4100.0|2900.0|60.0336|-153.076|Red Glacier, Iliamna|4|2018_07_11 002406|ice avalanche|Rock/ice/debris avalanches and slides|2460000.0|6150000.0|1230000.0
IRIS|2019_03_26 180129|161|1300.0|1400.0|1200.0|2500.0|2600.0|2400.0|60.0285|-153.0924|Umbrella Glacier, Iliamna|4|2019_03_26 180044|rock avalanche|Rock/ice/debris avalanches and slides|310000.0|450000.0|220000.0
BGR, ETH|2002_07_13 130437|255|1000.0|||1300.0|||46.34038|9.63292|Vicosoprano, Switzerland|4|2002_07_13 130223|rock slide|Rock/ice/debris avalanches and slides|50000.0|60000.0|40000.0
IRIS|2011_03_10 141451|182|600.0|800.0|500.0|2700.0|3200.0|2100.0|45.35093|-121.65988|Mount Hood Ski area|3|2011_03_10 141224|snow avalanche|Snow avalanches|800000.0|1200000.0|400000.0
IRIS, NCEDC|2015_03_31 012110|60|200.0|210.0|190.0|230.0|270.0|210.0|41.37499|-122.15457|Mount Shasta|4|2015_03_31 012014|landslide|Rock/ice/debris avalanches and slides|27000.0||
IRIS|2016_05_30 101935|133|374.0|||1073.0|||58.6313|-137.0251|East Crillon|4|2016_05_30 101628|rock avalanche|Rock/ice/debris avalanches and slides|120000.0|210000.0|65000.0
IRIS, Attachments below|2005_05_15 142615|66|1400.0|1460.0|1300.0|3800.0|4400.0|3000.0|59.981|-153.06354|South Twin 2|3|2005_05_15 141933|rock avalanche|Rock/ice/debris avalanches and slides|130000.0|190000.0|86000.0
ETH|2002_11_21 142306|234|480.0|||800.0|||46.1674|7.7871|Medji, Switzerland|3|2002_11_21 142049|rock slide|Rock/ice/debris avalanches and slides|70000.0|84000.0|56000.0
IRIS|2014_07_20 160506|50|1400.0|1500.0|1300.0|2400.0|2410.0|2300.0|60.02682|-153.06288|Iliamna|4|2014_07_20 155816|ice and rock avalanche|Rock/ice/debris avalanches and slides|150000.0|230000.0|97000.0
IRIS, Attachments below|1997_10_20 073656|7|1700.0|1600.0|1800.0|5000.0|5100.0|4700.0|46.20171|-121.48164|Mount Adams|3|1997_10_20 073122|rock and ice avalanche|Rock/ice/debris avalanches and slides|3600000.0|4600000.0|2700000.0
IRIS|1989_08_16 173012|106|2500.0|||7800.0|||46.8746|-121.7537|Russell Cliff main, Mount Rainier|3|1989_08_16 172112|rock fall, debris avalanche|Rock/ice/debris avalanches and slides|300000.0|500000.0|100000.0
IRIS|2022_09_01 181139|284|1500.0|||20000.0|21000.0|17000.0|53.975|-129.326|Ecstall River|4|2022_09_01 180315|rock and ice avalanche, outburst flood|Rock/ice/debris avalanches and slides|10000000.0|14000000.0|7100000.0
IRIS|2019_06_21 000612|149|1830.0|||7800.0|||60.0287|-153.0738|Red Glacier, Iliamna|4|2019_06_21 000312|rock and ice avalanche|Rock/ice/debris avalanches and slides|11000000.0|18000000.0|4000000.0
