Event Index,Fréquence coin,Slope basse frequence,Intercept basse frequence,First PSD basse frequence,PSD requence coin,Slope haute frequence,Intercept haute frequence,Last PSD haute frequence,numero1
0,1.2000000000000002,-1.1306379204585373,-27.67558437277206,1.1453976558095344e-12,1.991938507510003e-12,-6.884405511377464,-26.547071193238704,6.89622719710222e-19,0
1,1.2000000000000002,-3.3171824396135663,-38.924860833683226,4.5913797233986486e-17,1.1376868161580956e-18,-4.651826940922981,-38.31114389700015,2.3444849988171816e-22,1
10,1.55,-3.2180660321381205,-34.81362834868765,3.734171240827717e-15,5.791411938759932e-17,-5.277869916750253,-31.852358261814764,1.6383366301018642e-20,10
11,2.010376134889753,0.9036092015537672,-33.30219863143062,1.4297764785268265e-15,5.3958686054269605e-14,-6.066409134377606,-27.01118480901731,1.5110749471810113e-20,11
2,1.5,-2.2398242092100467,-35.22987684336213,2.8357869125902225e-15,2.418468660137238e-15,-5.302420881533621,-32.66821695317603,8.146082624153684e-20,2
21,1.5,-2.1682394187186955,-32.94307154805537,2.974434904836108e-14,2.085300654108833e-15,-4.875254670946597,-31.39114449403508,1.490683609302979e-19,21
22,1.05,0.7169438065223925,-27.208651775652697,4.872841752312459e-13,6.300357532999587e-13,-4.944716096115058,-27.452558755071102,4.261771219659064e-18,22
23,1.1,-4.507506892467543,-35.378692953597884,3.510016033790431e-15,1.7205349477738872e-16,-6.2393952943385695,-35.69142641148395,4.831647796424311e-22,23
24,1.2000000000000002,-5.450660411666023,-32.37723587031343,9.254231498981251e-14,1.362839713320347e-15,-4.92453713112377,-33.5853936455971,6.442735203215635e-20,24
26,1.05,2.5602962079278995,-38.731730475826126,8.838438378947813e-18,1.1450959926641462e-17,-3.0289575732487592,-41.086029224690485,1.2701505583002605e-21,26
27,1.25,-2.2248007057571404,-31.46510662111176,7.90918259553667e-14,4.9937039894665015e-14,-5.471274717819213,-31.4907961941108,1.482066520409212e-19,27
28,1.15,-2.0572591494572854,-32.44229791463832,6.672147200240633e-14,1.6860626107951116e-14,-5.378851556855939,-33.18070167230052,2.858498552910809e-20,28
3,1.05,-1.7097677437991536,-35.329082900479975,1.4518397509517774e-15,1.8938663898626076e-16,-5.616420743146785,-34.73794270725095,2.1031550852063025e-21,3
