Event Index,numero3,FC_ent,Slope_BF_ent,Intercept_BF_ent,First Value_BF_ent,FC_value_ent,Slope_HF_ent,Intercept_HF_ent,Last Value_HF_ent,type,volume,length,height
0,0,6.340792599074884,0.0030940281840909,-0.3846157710838052,0.6191357628564961,0.8766250664478796,0.0904268444661222,-0.5462296945178968,0.7605798827624363,rock and ice avalanche,54000000.0,5760.0,1860.0
2,2,8.511063882985374,0.0051029759808968,-0.5861106977026216,0.4860567369487948,0.5148462840551746,-0.0142232161285655,-0.5463623128608762,0.6347586481575795,rock avalanche,3000000.0,3730.0,931.0
3,3,7.270908863607951,0.0019453063614804,-0.230166695769448,0.4348740815360554,0.6142712108374928,0.0085409187443731,-0.2536023943393118,0.7794974032112738,rock and debris avalanche,2600000.0,2000.0,690.0
5,5,8.341042630328792,0.0057581040588585,-0.0985772627331794,0.8827256981703463,0.6668022760354989,-0.0024867920577842,-0.0844075202002339,0.9537000043484484,"rock avalanche, debris flow",1900000.0,4320.0,1240.0
9,9,6.130766345793224,0.015895177686363,-0.5236816370035282,0.662276213113574,0.714134760963176,0.1861024137432301,-0.8579077895885605,0.6859793912019291,rock avalanche,46700.0,550.0,560.0
10,10,5.445680710088761,-0.0052358064499809,-1.1196351138535012,0.3193112867022279,0.3552290092856249,0.0564861184060463,-1.302955994196731,0.3227747185952365,ice avalanche,2460000.0,3600.0,1300.0
11,11,8.911113889236155,-0.006789207647658,-1.156660897956879,0.3212229891449317,0.3204917187877359,0.0827261158181509,-1.368872792572901,0.3235950785536958,rock avalanche,310000.0,2500.0,1300.0
22,22,9.086135766970871,0.0141051555132004,-1.243017869366767,0.3007916724379321,0.2677051550075104,0.0514644100994215,-1.3252953542271853,0.3150759217933445,rock and ice avalanche,11000000.0,7800.0,1830.0
23,23,8.206025753219151,0.0094190202090606,-0.7713225964370514,0.4519758087186929,0.4363990135223944,0.0255771435681889,-0.8129678154909389,0.5051119056153325,rock and ice avalanche,1700000.0,3500.0,1300.0
24,24,6.005750718839855,0.0143520608877301,-0.6532900911248372,0.5087144478341546,0.4929353971954861,-0.0083354207260779,-0.6094950825473175,0.5540972004025044,debris avalanche-flow,8300000.0,1700.0,180.0
